,2020-03-01
re000008OF,0.514675041467269
re000042OF,0.5557293660849948
re000051OF,0.5352272856901834
re000059OF,0.7130966355103525
re000082OF,0.8922986960886792
re000176OF,0.1611420601931753
re000248OF,0.1870697053811155
re000309OF,0.4857258636174312
re000311OF,0.4032914869853572
re000312OF,0.991322467266844
re000313OF,0.925260545717022
re000326OF,0.6489498476835427
re000368OF,0.6174926262247795
re000373OF,0.688653868245468
re000376OF,0.7240719592118658
re000409OF,0.4991895029779571
re000411OF,0.8582237592927209
re000418OF,0.0833274186616953
re000457OF,0.1369923474698775
re000471OF,0.0634939155317574
re000478OF,0.6342450016512757
re000512OF,0.0150775035389736
re000513OF,0.0456847835963941
re000524OF,0.5369485649958637
re000549OF,0.079709173160651
re000577OF,0.5158099556048457
re000586OF,0.4689094616083167
re000592OF,0.5260201140174475
re000594OF,0.9825033294537004
re000596OF,0.835584786837561
re000613OF,0.4949168058189064
re000628OF,0.379937552279815
re000656OF,0.9199126581781608
re000688OF,0.253278239880915
re000696OF,0.0685018144981466
re000697OF,0.9801915544843232
re000711OF,0.22153290082215
re000729OF,0.9319279201598444
re000746OF,0.0513967681758349
re000751OF,0.0012452719702105
re000756OF,0.9644158339214136
re000761OF,0.8437417324166522
re000778OF,0.0543597816636129
re000780OF,0.4493848446591724
re000793OF,0.5450156581577907
re000803OF,0.1145262651557627
re000826OF,0.802600728656395
re000827OF,0.8018496569407603
re000828OF,0.2957962344882319
re000831OF,0.0630151974962002
re000835OF,0.0504697272704993
re000854OF,0.4717837552244224
re000866OF,0.7077076770171652
re000867OF,0.5502962465734471
re000884OF,0.5702063917243547
re000893OF,0.0377097879850094
re000913OF,0.0802671094207219
re000916OF,0.5263292711666618
re000925OF,0.7360032029584254
re000942OF,0.3729724174444428
re000948OF,0.8096347818067351
re000950OF,0.177466005398004
re000955OF,0.9144331522525092
re000960OF,0.0252071363047085
re000961OF,0.4446887485494118
re000962OF,0.9858347744706766
re000968OF,0.917698606587557
re000971OF,0.6293940515555201
re000974OF,0.4083261358725747
re000975OF,0.7356350724421955
re000978OF,0.5386907479615333
re000979OF,0.6370552916661483
re000985OF,0.3902287038731774
re000991OF,0.0044785468536877
re000996OF,0.513885369573376
re001008OF,0.469692474429045
re001009OF,0.4316937915209176
re001015OF,0.4392604659582555
re001016OF,0.5900782867164236
re001027OF,0.1066506764306441
re001028OF,0.1791567168223552
re001036OF,0.2534351697964438
re001039OF,0.4809612915519778
re001040OF,0.2900408981483735
re001042OF,0.6075837693260651
re001043OF,0.004983721178589
re001044OF,0.6650134695166323
re001047OF,0.0469552309083314
re001048OF,0.4967032682541928
re001050OF,0.1283593828678892
re001051OF,0.4377138271048592
re001052OF,0.7996976789760379
re001054OF,0.0185693746694676
re001064OF,0.1726958307066043
re001070OF,0.2297118627226516
re001072OF,0.1187132066745877
re001097OF,0.8144516768639345
re001104OF,0.0250034816506104
re001105OF,0.7655632229822169
re001113OF,0.3763419101216272
re001126OF,0.1962486137673963
re001133OF,0.0158472313278865
re001149OF,0.2883499831715626
re001158OF,0.9072155433657736
re001162OF,0.8296552441269343
re001163OF,0.4963949503844845
re001166OF,0.1690862446482988
re001167OF,0.4950596465058906
re001171OF,0.0418150642717481
re001178OF,0.3659061672933612
re001180OF,0.5302503559017768
re001186OF,0.0511122461139681
re001188OF,0.9087348126011974
re001193OF,0.4278808228231594
re001195OF,0.4826466086333251
re001208OF,0.0414413095831447
re001214OF,0.8671268881723695
re001223OF,0.6167680355989842
re001230OF,0.4187802903440447
re001236OF,0.0837297476299782
re001237OF,0.1347047633017301
re001241OF,0.8238858733732577
re001242OF,0.4900580275228323
re001243OF,0.4880636104019162
re001245OF,0.165693509650047
re001277OF,0.8485535278639236
re001291OF,0.0147099516993584
re001313OF,0.4295766381511351
re001319OF,0.653902467875261
re001351OF,0.9622638657989452
re001361OF,0.6227038727572884
re001396OF,0.9638003678069867
re001397OF,0.6344093556590183
re001404OF,0.8636650717063472
re001409OF,0.3837955879495287
re001410OF,0.0042367555885203
re001416OF,0.197452781001269
re001420OF,0.6355539861388757
re001421OF,0.840173410063481
re001426OF,0.5485889715246896
re001455OF,0.94209256438678
re001469OF,0.0758572008298887
re001473OF,0.2719616468088326
re001476OF,0.6293848587223518
re001482OF,0.1485537335109616
re001490OF,0.9011114011605692
re001496OF,0.2575630432921781
re001521OF,0.5452993692570335
re001528OF,0.9670759526868168
re001539OF,0.163525699727589
re001541OF,0.3891620886359841
re001542OF,0.8813252074383566
re001548OF,0.1103120208357016
re001549OF,0.1307753579765975
re001550OF,0.3253713482906293
re001551OF,0.3428124163156877
re001552OF,0.0629019113425019
re001553OF,0.068117909945362
re001577OF,0.589192913284913
